dimension,run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
2,2,0.01,0.03,0.01,0.01,0.03,0.0,100,1,17.394579990416283,3.2438874429949838
2,0,0.01,0.01,0.1,0.01,0.03,5.964749402122563,3,0.017295206514938835,2.5846934019694308,1.1301979461824403
2,0,0.03,0.01,0.01,0.01,0.03,0.002275242746871602,14,0.6568229054619131,8.506923745652928,2.2428828932355334
2,0,0.01,0.01,0.01,0.01,0.03,0.0012517743410342997,12,0.6994708626648234,7.02133359008239,1.9285367112465996
2,0,0.01,0.3,0.01,0.01,0.1,0.0,100,1,15.640057122453879,3.2708281762945948
2,0,0.01,0.3,0.1,0.01,0.1,0.0,100,1,18.936970211219364,3.388928717417553
2,0,0.03,0.3,0.01,0.01,0.01,0.0,100,1,16.69511974152475,3.1237735642759548
2,4,0.01,0.1,0.01,0.01,0.03,0.0,100,1,17.290901028048616,3.409659269722881
2,0,0.03,0.1,0.01,0.01,0.01,0.0,100,1,15.819550958929206,3.301210265360094
2,0,0.03,0.3,0.1,0.01,0.01,0.0,100,1,18.400994884067245,3.355640907043167
2,0,0.03,0.1,0.1,0.01,0.01,4.138259287529485e-06,97,-1.1102230246251565e-16,15.03715374579516,3.239903244586131
2,0,0.03,0.03,0.01,0.01,0.01,0.0,100,1,16.133397455826508,3.2679092514604395
2,3,0.01,0.1,0.1,0.01,0.03,0.0,100,1,17.81576947584103,3.05025720686223
2,3,0.01,0.03,0.01,0.01,0.03,0.0,100,1,16.52755004232227,3.1385208602318624
2,0,0.1,0.03,0.01,0.01,0.01,0.0,100,1,13.213093216889856,2.6252663247540005
2,1,0.01,0.3,0.01,0.01,0.1,0.0,100,1,15.079323771753256,2.926897660183416
2,1,0.03,0.01,0.1,0.01,0.03,4.045824658172197,3,0.012488690556312285,1.1880551226246845,0.49535030278948655
2,1,0.01,0.03,0.1,0.01,0.03,1.938598454598863,3,0.12023363572304689,3.384447588944929,1.4267824000560516
2,0,0.03,0.03,0.1,0.01,0.01,1.0841076323969123,2,0.09643386051712405,1.2094162904491463,0.6047081452245732
2,1,0.01,0.3,0.1,0.01,0.1,0.0,100,1,15.382848665222628,3.180080253269514
2,0,0.1,0.01,0.1,0.01,0.01,2.55928385962925,2,0.003469630876374419,0.30356093436791426,0.15178046718395713
2,0,0.1,0.03,0.1,0.01,0.01,0.5906558997087159,4,0.06871118904684569,0.4094703323669865,0.15095648874941242
2,1,0.01,0.01,0.1,0.01,0.03,5.721771654313288,3,0.022470628835116746,2.964166142390328,1.3193913715065109
2,1,0.03,0.3,0.01,0.01,0.01,0.0,100,1,16.3553093025986,3.236317385445752
2,0,0.1,0.01,0.01,0.01,0.01,0.026928903230338797,5,0.20379093711096943,0.9481978774797073,0.3545918575250131
2,1,0.03,0.01,0.01,0.01,0.03,0.0021805335700716137,9,0.6232243274554693,4.051977381036453,1.1937313536458232
2,0,0.01,0.1,0.01,0.01,0.1,0.0,100,1,15.19991473200588,3.3116509465858495
2,1,0.03,0.1,0.01,0.01,0.01,0.0,100,1,14.715143057516137,2.96800038082229
2,1,0.03,0.3,0.1,0.01,0.01,0.0,100,1,17.725420791557198,3.650359764209628
2,1,0.03,0.1,0.1,0.01,0.01,5.513332237285861e-07,96,0.22648393673793762,19.260065577597075,3.3944043035031903
2,1,0.03,0.03,0.01,0.01,0.01,0.0,100,1,15.457556989784448,2.94591950154374
2,4,0.01,0.1,0.1,0.01,0.03,0.0,100,1,16.903412153255143,3.5426340892169708
2,1,0.01,0.01,0.01,0.01,0.03,0.0008085281539462125,12,0.77789554007096,11.305654330040966,3.017520413138073
2,4,0.01,0.03,0.01,0.01,0.03,1.0475485039926109e-09,99,0.0,15.516072037631128,3.103670130339691
2,2,0.01,0.3,0.01,0.01,0.1,0.0,100,1,15.81645699807267,3.2363537365338715
2,2,0.01,0.3,0.1,0.01,0.1,0.0,100,1,17.716945988053148,3.396064224768331
2,1,0.1,0.03,0.01,0.01,0.01,0.0,100,1,12.697927784456159,2.580481065723591
2,2,0.03,0.3,0.01,0.01,0.01,0.0,100,1,14.730883023540446,3.1845722553594564
2,1,0.01,0.1,0.01,0.01,0.1,0.0,100,1,16.586913287070008,3.182622794031334
2,2,0.03,0.1,0.01,0.01,0.01,0.0,100,1,15.416448883283746,3.0583160070553346
2,2,0.01,0.03,0.1,0.01,0.03,1.805971987456054,2,0.09199750055126402,1.5028130178748142,0.7514065089374071
2,2,0.03,0.01,0.1,0.01,0.03,4.0093819217171545,3,0.01540053992032836,0.9319371982725292,0.3887810955347536
2,2,0.03,0.3,0.1,0.01,0.01,0.0,100,1,16.533137468457156,2.956157636431358
2,1,0.03,0.03,0.1,0.01,0.01,1.0364473819035103,3,0.11142969127850011,1.8838347964131117,0.8097124255762731
2,2,0.03,0.1,0.1,0.01,0.01,1.4340109516332294e-05,83,0.4397075001878733,16.411413558922824,3.3865930091778513
2,0,0.01,0.1,0.1,0.01,0.1,0.0,100,1,15.979340580391623,3.301985361083518
2,3,0.01,0.3,0.01,0.01,0.1,0.0,100,1,15.31204611470373,3.5994302482541496
2,2,0.03,0.03,0.01,0.01,0.01,0.0,100,1,15.662644695616175,2.881766505491636
2,2,0.01,0.01,0.1,0.01,0.03,5.83741469657387,3,0.021834392436565403,2.848670882177667,1.231519930424225
2,0,0.01,0.03,0.01,0.01,0.1,0.0,100,1,14.508982839738533,2.837887300333544
2,3,0.01,0.3,0.1,0.01,0.1,0.0,100,1,16.503338360674917,3.1122428294977365
2,1,0.1,0.01,0.1,0.01,0.01,2.6395813155201626,3,0.0027999970485518555,0.23387455379165945,0.09778808200375552
2,2,0.03,0.01,0.01,0.01,0.03,0.0029061956827243136,9,0.6190384970789142,6.903872861823059,1.934893278834961
2,1,0.1,0.03,0.1,0.01,0.01,0.5905675282990839,4,0.07809910191056085,0.8324106985934739,0.3352189253707924
2,3,0.03,0.3,0.01,0.01,0.01,0.0,100,1,18.14007324388209,3.342035643458047
2,2,0.01,0.01,0.01,0.01,0.03,0.0014760297314611154,13,0.7216787211686556,10.017980253383316,2.4262175659487526
2,1,0.1,0.01,0.01,0.01,0.01,0.028563036766543082,5,0.2145728569692717,0.9669596414569199,0.3355602094995623
2,3,0.03,0.1,0.01,0.01,0.01,0.0,100,1,16.310146489967366,3.146058611294538
2,2,0.01,0.1,0.01,0.01,0.1,5.612844367175708e-11,99,0.0,15.943497849287855,3.1036469708843053
2,4,0.01,0.3,0.01,0.01,0.1,0.0,100,1,17.741706973992805,3.376395436125246
2,2,0.1,0.03,0.01,0.01,0.01,0.0,100,1,14.158746772074696,2.9326362110924915
2,3,0.03,0.3,0.1,0.01,0.01,1.4451113643158666e-08,99,0.0,15.199933151214385,3.0764564445119587
2,1,0.01,0.1,0.1,0.01,0.1,0.0,100,1,18.275648457319917,3.526791235755348
2,3,0.03,0.1,0.1,0.01,0.01,4.559743566451658e-06,94,0.3577179019114947,16.58014508149519,3.1927099750125407
2,4,0.01,0.3,0.1,0.01,0.1,0.0,100,1,17.598742785135123,3.289445024660211
2,3,0.03,0.03,0.01,0.01,0.01,0.0,100,1,15.150524889503309,3.144681849295625
2,1,0.01,0.03,0.01,0.01,0.1,0.0,100,1,17.187431546140097,3.3003350118839894
2,3,0.01,0.03,0.1,0.01,0.03,1.7095450896927522,3,0.10717967452944921,3.056648412708251,1.275238552120257
2,3,0.03,0.01,0.1,0.01,0.03,4.181059557837544,2,0.017196790409454793,0.8042211741335505,0.40211058706677527
2,4,0.03,0.3,0.01,0.01,0.01,0.0,100,1,16.833653612722475,3.367781000340634
2,2,0.03,0.03,0.1,0.01,0.01,1.1018705922719836,3,0.1069994492827336,1.7294715573316866,0.7237598006961532
2,3,0.01,0.01,0.1,0.01,0.03,5.898215445080364,3,0.022845252184122783,3.3654291271833996,1.4252391934072648
2,4,0.03,0.1,0.01,0.01,0.01,0.0,100,1,16.106574974324236,3.111056882010083
2,0,0.01,0.3,0.01,0.01,0.3,0.0,100,1,16.52730554008592,3.1496327096784547
2,3,0.01,0.1,0.01,0.01,0.1,0.0,100,1,18.11324411590052,3.170386014150419
2,3,0.03,0.01,0.01,0.01,0.03,0.002553643193856938,7,0.6050535937716599,2.718841527752019,1.0188123529165383
2,0,0.01,0.3,0.1,0.01,0.3,0.0,100,1,17.183749277209927,3.4020732707631196
2,2,0.1,0.01,0.1,0.01,0.01,2.6443891010865235,2,0.0052891834555042205,0.28954536323558605,0.14477268161779303
2,4,0.03,0.3,0.1,0.01,0.01,0.0,100,1,17.547056811117585,3.3475615666373164
2,2,0.01,0.1,0.1,0.01,0.1,0.0,100,1,18.18686596446475,3.243447761149085
2,2,0.1,0.03,0.1,0.01,0.01,0.5791528120946231,4,0.06563482154571935,0.6896226564227216,0.262494540420953
2,4,0.03,0.1,0.1,0.01,0.01,1.5464115621281358e-05,82,0.20706001982397224,14.385572899022343,3.2682437156249926
2,3,0.01,0.01,0.01,0.01,0.03,0.0013681971757070611,11,0.6838552231015881,7.343389990408526,2.1267471560569993
2,4,0.03,0.03,0.01,0.01,0.01,0.0,100,1,13.810747529584702,2.8969027274796426
2,0,0.03,0.3,0.01,0.01,0.03,0.0,100,1,17.994919621761287,3.5743888660041385
2,3,0.1,0.03,0.01,0.01,0.01,0.0,100,1,14.892947587257659,2.5968393905019767
2,2,0.01,0.03,0.01,0.01,0.1,0.0,100,1,16.33365001736187,3.3206496949642226
2,2,0.1,0.01,0.01,0.01,0.01,0.028419480018508175,6,0.18640896526194112,1.076738522918983,0.345464468796871
2,1,0.01,0.3,0.01,0.01,0.3,9.003584047810444e-09,99,0.0,16.561382627482992,3.2152864123909612
2,0,0.03,0.1,0.01,0.01,0.03,0.0,100,1,15.641278903834646,3.434377749647189
2,4,0.01,0.1,0.01,0.01,0.1,0.0,100,1,17.12967366481743,3.3691156433553555
2,4,0.03,0.01,0.1,0.01,0.03,3.8526501503226704,3,0.015712138580371057,0.7959447640867635,0.3405957862745589
2,4,0.01,0.03,0.1,0.01,0.03,1.8305458753179669,3,0.11118912867807716,3.6069238656733695,1.4743517370200352
2,1,0.01,0.3,0.1,0.01,0.3,0.0,100,1,13.735455819415384,2.853410863249647
2,3,0.03,0.03,0.1,0.01,0.01,1.311017268404282,2,0.09420298045336103,0.9064331480083864,0.4532165740041932
2,0,0.03,0.3,0.1,0.01,0.03,0.0,100,1,16.52296378491799,3.3029873906269502
2,3,0.01,0.1,0.1,0.01,0.1,0.0,100,1,15.258791408183404,3.116139432461513
2,4,0.01,0.01,0.1,0.01,0.03,5.722795591808231,3,0.020428196038132562,2.941948407536403,1.281227278394664
2,1,0.03,0.3,0.01,0.01,0.03,0.0,100,1,16.485440002174823,3.310654909783355
2,0,0.03,0.1,0.1,0.01,0.03,0.0,100,1,14.529188853439756,3.050090913241987
2,0,0.03,0.03,0.01,0.01,0.03,0.0,100,1,14.139156025521311,2.8481767142080354
2,4,0.03,0.01,0.01,0.01,0.03,0.0038495782134493075,7,0.4864124547568598,3.6367118944750807,1.180266136095741
2,3,0.01,0.03,0.01,0.01,0.1,0.0,100,1,17.55998869761401,3.4049280473865444
2,2,0.01,0.3,0.01,0.01,0.3,0.0,100,1,16.58073973643941,3.411815356143361
2,4,0.1,0.03,0.01,0.01,0.01,0.0,100,1,13.624068818990041,2.7476196370339903
2,1,0.03,0.1,0.01,0.01,0.03,0.0,100,1,16.87797423003503,3.2199638354231634
2,2,0.01,0.3,0.1,0.01,0.3,0.0,100,1,15.909303990078737,3.4553661270133853
2,0,0.01,0.1,0.01,0.01,0.3,0.0,100,1,18.061550000849344,3.5263452530617334
2,4,0.01,0.01,0.01,0.01,0.03,0.0011467872300483179,15,0.6842716502462988,10.180065318753858,2.745530130885231
