run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
3,0.3,0.01,0.1,0.01,0.01,3.2543493036789926,1,1.5543122344752192e-15,0.0,0.0
0,0.03,0.01,0.1,0.01,0.03,9.285175097233816,2,0.005485325149324011,1.3568956835435098,0.6784478417717549
3,0.3,0.03,0.01,0.01,0.01,0.00320117160230338,9,0.48457619718133266,1.1380231878541778,0.3144240773309364
3,0.3,0.01,0.01,0.01,0.01,0.3790840378059605,6,0.03650055378405594,0.18577530875225068,0.07053098707279652
4,0.1,0.3,0.01,0.01,0.01,4.5539028691873607e-07,82,0.8573131247122852,14.866844575417907,3.251523937842584
3,0.1,0.03,0.1,0.01,0.01,3.832090473357078,3,0.01231088937423866,0.3398368000097489,0.14046301825363097
1,0.1,0.01,0.01,0.01,0.03,0.2894701835684902,3,0.07592314130705138,0.613797942865805,0.2576309548345028
2,0.01,0.1,0.01,0.01,0.03,6.292129318140485e-08,88,0.8686665130231751,15.23837099150724,3.7272774646226967
2,0.03,0.3,0.1,0.01,0.03,2.0642157385171824e-06,75,0.7511320011395424,15.91675540132574,3.235296931604718
4,0.1,0.3,0.1,0.01,0.01,3.1114577192645625e-06,65,0.853977120240446,16.549413893130513,3.694847479321559
3,0.1,0.03,0.01,0.01,0.01,3.442862899567877e-05,43,0.7112786812402848,11.563019351204943,2.7289197526721285
2,0.01,0.3,0.1,0.01,0.03,2.495829865460259e-06,75,0.8419660698817044,20.935682439298485,3.816168175833842
3,0.1,0.1,0.1,0.01,0.01,0.17311889170639266,3,0.23312654827996857,3.1864694070845214,1.3013776086903224
1,0.03,0.1,0.1,0.01,0.03,0.14862202308935962,4,0.2133207467538895,5.983825983326142,2.1459774016912054
4,0.1,0.1,0.01,0.01,0.01,2.1357501246987352e-07,81,0.8246033207028327,13.708166357798657,3.2916349725818552
3,0.1,0.01,0.1,0.01,0.01,5.23246324268091,2,0.00016013678925905217,0.1490877603140639,0.07454388015703195
3,0.03,0.3,0.01,0.01,0.03,2.4622950364096815e-07,86,0.902942499963002,24.521848138515367,3.78539092702717
1,0.03,0.01,0.01,0.01,0.03,0.2521015777672431,3,0.1778710460898221,2.240254869367648,0.9466611411278925
1,0.01,0.03,0.01,0.01,0.03,2.9836362453384024e-07,61,0.8503958972515918,14.748615074409225,3.3272306520752215
