run,c,h,a,theta_h,theta_a,avg_edw,num_com,mod,avg_com,sd_com
3,0.1,0.3,0.01,0.01,0.01,2.8037991365040153e-07,81,0.8606550026610532,16.595166539677578,119.23915645634955
2,0.03,0.03,0.01,0.01,0.01,5.614348239494858e-07,53,0.8265080330857137,15.821612336363053,80.17941169656102
2,0.1,0.03,0.01,0.01,0.01,7.9232433607891e-06,36,0.18501617491338623,8.943250586119309,43.75019052161826
3,0.01,0.3,0.01,0.01,0.01,2.412369671179173e-07,87,0.8601095912436925,16.716120056790178,109.29348925103339
2,0.01,0.03,0.1,0.01,0.01,8.754748452063168,3,0.036338522976952885,3.1291578640632696,2.942658605450017
2,0.03,0.03,0.1,0.01,0.01,5.9163282770014405,2,0.025988012026187196,0.9376719159455583,0.31085426039813985
2,0.3,0.1,0.1,0.01,0.01,0.05639093182299207,5,0.1908883147508995,1.3829473362215197,0.48333842299483426
2,0.01,0.01,0.1,0.01,0.01,12.477553256498789,2,0.008723585168847164,2.6131679484094303,2.414291203351093
2,0.01,0.01,0.01,0.01,0.01,0.26759162923497415,2,0.1904883157708748,4.1252519233717795,6.016666748240739
3,0.03,0.3,0.01,0.01,0.01,3.647818185729634e-07,81,0.8271194510549267,16.46828537368139,127.74561174129309
2,0.03,0.01,0.1,0.01,0.01,8.67141839133578,2,0.004408142359171752,0.9669871760844524,0.3305951178769338
2,0.1,0.01,0.1,0.01,0.01,5.29661938717111,2,0.0002224424706391004,0.31183839186272916,0.03438065693428787
3,0.3,0.3,0.01,0.01,0.01,3.301587091262864e-07,85,0.8834034487768883,15.893464541357705,83.79254707393262
3,0.01,0.3,0.1,0.01,0.01,3.7528959082043756e-06,65,0.7409963571686242,19.17197809020325,143.02770614312058
3,0.1,0.1,0.01,0.01,0.01,1.3314495768786706e-07,81,0.891131183795054,15.996643261120923,86.43746235379689
3,0.3,0.1,0.01,0.01,0.01,3.360084426508612e-07,74,0.8629230789793568,12.623650349154214,65.4481252583348
